date,open,high,low,close
"May 14, 2018",8713.1,8881.12,8367.97,8716.79
"May 15, 2018",8705.19,8836.19,8456.45,8510.38
"May 16, 2018",8504.41,8508.43,8175.49,8368.83
"May 17, 2018",8370.05,8445.54,8054.12,8094.32
"May 18, 2018",8091.83,8274.12,7974.82,8250.97
"May 19, 2018",8255.73,8372.06,8183.35,8247.18
"May 20, 2018",8246.99,8562.41,8205.24,8513.25
"May 21, 2018",8522.33,8557.52,8365.12,8418.99
"May 22, 2018",8419.87,8423.25,8004.58,8041.78
"May 23, 2018",8037.08,8054.66,7507.88,7557.82
"May 24, 2018",7561.12,7738.6,7331.14,7587.34
"May 25, 2018",7592.3,7659.14,7392.65,7480.14
"May 26, 2018",7486.48,7595.16,7349.12,7355.88
"May 27, 2018",7362.08,7381.74,7270.96,7368.22
"May 28, 2018",7371.31,7419.05,7100.89,7135.99
"May 29, 2018",7129.46,7526.42,7090.68,7472.59
"May 30, 2018",7469.73,7573.77,7313.6,7406.52
"May 31, 2018",7406.15,7608.9,7361.13,7494.17
"Jun 01, 2018",7500.7,7604.73,7407.34,7541.45
"Jun 02, 2018",7536.72,7695.83,7497.26,7643.45
"Jun 03, 2018",7632.09,7754.89,7613.04,7720.25
"Jun 04, 2018",7722.53,7753.82,7474.04,7514.47
"Jun 05, 2018",7500.9,7643.23,7397.0,7633.76
"Jun 06, 2018",7625.97,7680.43,7502.01,7653.98
"Jun 07, 2018",7650.82,7741.27,7650.82,7678.24
"Jun 08, 2018",7685.14,7698.19,7558.4,7624.92
"Jun 09, 2018",7632.52,7683.58,7531.98,7531.98
"Jun 10, 2018",7499.55,7499.55,6709.07,6786.02
"Jun 11, 2018",6799.29,6910.18,6706.63,6906.92
"Jun 12, 2018",6905.82,6907.96,6542.08,6582.36
"Jun 13, 2018",6596.88,6631.66,6285.63,6349.9
"Jun 14, 2018",6342.75,6707.14,6334.46,6675.35
